index,confirmed,released,deceased
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,1,0,0
13,1,0,0
14,1,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,2,0,0
35,3,0,0
36,5,0,0
37,6,0,0
38,5,0,0
39,6,0,0
40,7,0,0
41,6,0,0
42,5,0,0
43,3,0,0
44,1,0,0
45,3,0,0
46,5,0,0
47,6,1,0
48,6,1,0
49,7,0,0
50,7,2,0
51,7,2,0
52,7,1,0
53,5,1,0
54,3,2,0
55,7,3,0
56,8,3,0
57,10,4,0
58,17,5,0
59,15,3,0
60,11,3,0
61,10,2,0
62,8,5,0
63,9,5,0
64,10,3,0
65,9,5,0
66,12,4,0
67,11,8,0
68,8,10,0
69,10,6,0
70,12,4,0
71,10,6,0
72,9,7,0
73,12,3,0
74,13,5,0
75,13,5,0
76,15,6,0
77,11,7,0
78,6,4,0
79,6,6,0
80,5,8,1
81,5,11,1
82,6,10,0
83,6,9,0
84,4,7,0
85,2,6,0
86,3,7,0
87,4,5,0
88,3,5,0
89,1,6,0
90,1,10,0
91,1,10,0
92,0,8,0
93,1,9,0
94,0,5,0
95,0,8,0
96,0,12,0
97,1,8,0
98,2,7,0
99,3,7,0
100,2,4,0
101,1,3,0
102,0,3,0
103,0,2,0
104,0,4,0
105,0,7,0
106,1,5,0
107,0,2,0
108,0,3,0
109,0,6,0
110,1,4,0
111,2,3,0
112,3,6,0
113,3,3,0
114,4,1,0
115,3,2,0
116,2,6,0
117,3,6,0
118,2,3,0
119,1,5,0
120,1,4,0
121,1,1,0
122,3,3,0
123,3,9,0
124,2,7,0
125,6,1,0
126,6,3,0
127,4,2,0
128,2,0,0
129,2,0,0
130,9,0,0
131,13,0,0
132,11,0,0
133,8,1,0
134,8,3,0
135,9,3,0
136,9,1,0
137,9,1,0
138,9,1,0
139,7,2,0
140,9,4,0
141,9,2,0
142,7,0,0
143,11,0,1
144,12,3,0
145,11,3,0
146,11,1,0
147,8,6,0
148,6,5,0
149,5,2,0
150,6,2,0
151,9,2,0
152,9,5,0
153,9,5,0
154,9,2,0
155,5,4,0
156,4,4,0
157,4,2,0
158,5,6,0
159,4,17,0
160,7,27,0
161,11,19,0
162,11,10,0
