index,confirmed,released,deceased
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,8,0,0
33,8,0,0
34,40,0,0
35,47,0,0
36,16,0,1
37,26,0,1
38,41,0,0
39,32,0,0
40,30,0,0
41,47,0,0
42,49,0,0
43,45,0,0
44,43,0,0
45,50,1,0
46,58,7,0
47,70,10,1
48,62,6,1
49,32,2,1
50,19,5,1
51,11,6,0
52,9,4,0
53,8,7,0
54,4,11,0
55,3,18,0
56,3,20,0
57,3,13,0
58,4,15,0
59,4,19,1
60,7,22,0
61,8,35,0
62,17,40,1
63,17,30,0
64,4,24,0
65,1,25,0
66,2,23,1
67,5,31,1
68,7,37,2
69,3,30,1
70,1,27,1
71,4,26,1
72,4,25,0
73,1,16,0
74,1,10,1
75,2,14,1
76,2,13,1
77,1,11,0
78,2,13,0
79,1,11,0
80,1,10,0
81,1,11,0
82,2,13,0
83,3,12,0
84,2,6,0
85,2,5,0
86,3,5,0
87,3,5,0
88,3,5,0
89,2,0,0
90,2,0,0
91,1,6,0
92,1,6,0
93,0,5,0
94,0,5,0
95,0,6,0
96,0,6,0
97,0,4,0
98,0,4,0
99,0,3,0
100,0,3,0
101,0,6,0
102,0,9,0
103,0,5,0
104,0,2,0
105,0,5,0
106,0,6,0
107,0,7,0
108,0,5,0
109,0,4,0
110,0,5,0
111,0,5,0
112,0,4,0
113,0,4,0
114,0,3,0
115,0,1,0
116,0,2,0
117,0,4,0
118,0,5,0
119,0,3,0
120,0,1,0
121,0,2,0
122,0,4,0
123,0,3,0
124,0,1,0
125,0,2,0
126,2,1,0
127,2,2,0
128,0,1,0
129,0,0,0
130,0,1,0
131,0,2,0
132,0,1,0
133,0,0,0
134,0,0,0
135,0,0,0
136,0,0,0
137,0,1,0
138,1,1,0
139,1,0,0
140,0,0,0
141,0,2,0
142,0,2,0
143,0,0,0
144,0,0,0
145,0,0,0
146,0,0,0
147,0,0,0
148,0,0,0
149,0,0,0
150,0,0,0
151,0,1,0
152,0,1,0
153,0,1,0
154,0,1,0
155,0,0,0
156,0,0,0
157,0,0,0
158,0,0,0
159,0,2,0
160,0,2,0
161,0,0,0
162,0,0,0
