index,confirmed,released,deceased
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,1,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,1,0,0
19,2,0,0
20,0,0,0
21,1,0,0
22,1,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,2,0,0
32,2,0,0
33,2,0,0
34,2,0,0
35,1,0,0
36,1,0,0
37,3,0,0
38,4,0,0
39,5,0,0
40,4,0,0
41,7,0,0
42,8,0,0
43,4,1,0
44,3,0,0
45,2,2,0
46,1,4,0
47,2,2,0
48,1,0,0
49,5,1,0
50,7,0,0
51,7,1,0
52,21,2,0
53,23,2,0
54,10,1,0
55,8,2,0
56,7,2,0
57,5,2,0
58,6,2,0
59,5,1,0
60,5,1,0
61,9,3,0
62,10,2,0
63,8,0,0
64,5,0,0
65,3,2,0
66,5,2,0
67,8,2,0
68,8,5,0
69,10,4,0
70,12,1,0
71,12,0,0
72,13,4,0
73,16,8,0
74,12,6,0
75,10,4,0
76,13,5,0
77,15,4,0
78,11,2,0
79,5,6,0
80,5,6,0
81,7,3,0
82,5,5,0
83,3,7,0
84,2,5,0
85,3,6,0
86,3,8,0
87,2,8,0
88,2,7,0
89,1,9,0
90,1,8,0
91,1,6,0
92,0,10,0
93,0,9,0
94,1,6,0
95,0,9,0
96,0,13,0
97,0,13,0
98,0,8,0
99,0,3,0
100,1,13,0
101,1,14,0
102,0,8,0
103,0,6,0
104,0,3,0
105,1,6,0
106,0,6,0
107,0,5,0
108,0,4,0
109,0,6,0
110,0,8,0
111,4,9,0
112,8,7,0
113,11,3,0
114,10,4,0
115,8,4,0
116,5,3,0
117,6,3,0
118,6,3,0
119,3,2,0
120,2,1,0
121,2,4,0
122,5,4,0
123,4,3,0
124,2,2,0
125,2,2,0
126,3,1,0
127,4,1,0
128,5,3,0
129,9,3,0
130,14,2,0
131,14,1,0
132,9,2,0
133,5,1,0
134,2,0,0
135,5,3,0
136,11,4,0
137,11,2,0
138,9,2,0
139,12,2,0
140,16,2,0
141,16,0,0
142,13,4,0
143,10,4,0
144,11,3,0
145,15,5,0
146,17,4,0
147,13,3,0
148,6,0,0
149,6,4,0
150,8,7,0
151,12,5,0
152,14,4,0
153,10,4,0
154,10,3,0
155,7,1,0
156,3,3,0
157,5,4,0
158,6,6,0
159,8,32,0
160,11,50,0
161,10,26,0
162,7,10,0
