index,confirmed,released,deceased
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,1,0,0
40,4,0,0
41,7,0,0
42,9,0,0
43,10,0,0
44,11,0,0
45,10,0,0
46,7,0,0
47,5,0,0
48,3,0,0
49,2,0,0
50,3,0,0
51,3,0,0
52,3,0,0
53,3,0,0
54,3,1,0
55,2,1,0
56,1,1,0
57,1,1,0
58,0,2,0
59,0,1,0
60,0,3,0
61,0,3,0
62,0,4,0
63,0,3,0
64,0,4,0
65,0,5,0
66,0,4,0
67,0,5,0
68,0,5,0
69,0,6,0
70,1,5,0
71,1,3,0
72,0,3,0
73,1,3,0
74,1,2,0
75,1,2,0
76,1,2,0
77,1,2,0
78,1,1,0
79,0,1,0
80,0,1,0
81,0,1,0
82,0,0,0
83,0,0,0
84,0,0,0
85,0,0,0
86,0,1,0
87,0,1,0
88,0,1,0
89,0,1,0
90,0,1,0
91,0,1,0
92,0,1,0
93,0,1,0
94,0,1,0
95,0,1,0
96,0,0,0
97,0,0,0
98,0,0,0
99,0,0,0
100,0,0,0
101,0,0,0
102,0,0,0
103,0,0,0
104,0,0,0
105,0,0,0
106,0,0,0
107,0,0,0
108,0,0,0
109,0,0,0
110,0,0,0
111,0,0,0
112,0,0,0
113,0,0,0
114,0,1,0
115,0,1,0
116,0,1,0
117,0,0,0
118,0,0,0
119,0,0,0
120,0,0,0
121,0,0,0
122,0,0,0
123,0,0,0
124,0,0,0
125,0,0,0
126,0,0,0
127,0,0,0
128,0,0,0
129,0,0,0
130,0,0,0
131,0,0,0
132,0,0,0
133,0,0,0
134,0,0,0
135,0,0,0
136,0,0,0
137,0,0,0
138,0,0,0
139,0,0,0
140,0,0,0
141,0,0,0
142,0,0,0
143,0,0,0
144,0,0,0
145,0,0,0
146,0,0,0
147,0,0,0
148,0,0,0
149,0,0,0
150,0,0,0
151,0,0,0
152,0,0,0
153,1,0,0
154,1,0,0
155,1,0,0
156,1,0,0
157,0,0,0
158,1,0,0
159,1,0,0
160,1,0,0
161,0,0,0
162,0,0,0
