index,confirmed,released,deceased
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,1,0,0
32,4,0,0
33,15,0,0
34,27,0,0
35,44,0,0
36,68,0,0
37,76,0,0
38,97,0,0
39,146,0,0
40,198,0,0
41,275,0,1
42,317,0,1
43,362,1,1
44,413,1,2
45,410,1,2
46,392,1,3
47,351,1,2
48,340,1,2
49,328,1,2
50,281,1,2
51,236,11,1
52,209,12,2
53,167,14,2
54,120,33,2
55,87,54,2
56,65,63,2
57,57,91,2
58,43,120,1
59,39,133,1
60,44,161,2
61,40,168,2
62,44,199,2
63,45,196,3
64,44,194,3
65,42,217,4
66,30,194,3
67,29,208,3
68,24,209,3
69,28,205,3
70,28,200,3
71,26,180,3
72,32,172,3
73,31,147,3
74,29,137,2
75,21,127,2
76,21,138,2
77,20,133,2
78,13,131,2
79,12,121,2
80,11,96,2
81,10,96,2
82,6,74,2
83,6,71,2
84,5,70,2
85,3,68,1
86,2,68,2
87,2,54,2
88,2,56,2
89,1,50,2
90,2,47,2
91,1,49,2
92,1,47,1
93,1,43,1
94,1,34,1
95,1,37,1
96,1,35,0
97,1,33,0
98,1,35,0
99,1,35,0
100,1,32,0
101,1,26,0
102,1,30,0
103,1,24,0
104,0,19,0
105,1,18,0
106,1,17,0
107,0,17,0
108,0,10,0
109,0,15,0
110,1,17,0
111,0,19,0
112,0,20,0
113,0,17,0
114,0,16,0
115,1,10,0
116,0,10,0
117,1,8,0
118,1,7,0
119,1,8,0
120,1,6,0
121,0,9,0
122,1,17,0
123,0,18,0
124,0,19,0
125,0,20,0
126,0,20,0
127,0,18,0
128,0,11,0
129,0,8,0
130,1,10,0
131,1,10,0
132,1,12,0
133,1,12,0
134,1,8,0
135,0,8,0
136,0,7,0
137,0,6,0
138,0,4,0
139,0,4,0
140,0,4,0
141,0,3,0
142,0,2,0
143,0,2,0
144,0,2,0
145,0,2,0
146,0,2,0
147,0,2,0
148,0,3,0
149,0,3,0
150,1,3,0
151,1,3,0
152,0,2,0
153,0,2,0
154,0,1,0
155,0,1,0
156,0,2,0
157,1,1,0
158,1,1,0
159,0,2,0
160,0,2,0
161,0,2,0
162,0,2,0
