index,confirmed,released,deceased
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,1.0,0.0,0.0
18,0.0,0.0,0.0
19,1.0,0.0,0.0
20,0.0,0.0,0.0
21,1.0,0.0,0.0
22,1.0,0.0,0.0
23,1.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
31,1.0,0.0,0.0
32,9.0,0.0,0.0
33,22.0,0.0,0.0
34,52.0,0.0,0.0
35,76.0,0.0,0.0
36,108.0,0.0,0.0
37,127.0,0.0,0.0
38,158.0,0.0,0.0
39,217.0,0.0,0.0
40,265.0,0.0,0.0
41,359.0,0.0,1.0
42,409.0,0.0,1.0
43,454.0,1.0,1.0
44,502.0,1.0,2.0
45,502.0,2.0,2.0
46,482.0,6.0,3.0
47,441.0,8.0,2.0
48,426.0,8.0,2.0
49,411.0,10.0,3.0
50,361.0,15.0,3.0
51,308.0,23.0,2.0
52,278.0,24.0,3.0
53,221.0,25.0,2.0
54,167.0,50.0,2.0
55,131.0,77.0,2.0
56,105.0,90.0,2.0
57,96.0,121.0,2.0
58,74.0,153.0,1.0
59,71.0,166.0,1.0
60,76.0,199.0,2.0
61,72.0,210.0,2.0
62,82.0,248.0,3.0
63,84.0,245.0,4.0
64,79.0,246.0,3.0
65,75.0,272.0,4.0
66,63.0,249.0,4.0
67,62.0,269.0,4.0
68,52.0,269.0,4.0
69,56.0,267.0,4.0
70,61.0,263.0,4.0
71,62.0,240.0,4.0
72,68.0,235.0,4.0
73,72.0,198.0,4.0
74,70.0,181.0,3.0
75,64.0,168.0,3.0
76,62.0,178.0,3.0
77,63.0,170.0,2.0
78,52.0,164.0,3.0
79,43.0,154.0,3.0
80,39.0,131.0,2.0
81,35.0,131.0,2.0
82,27.0,107.0,2.0
83,21.0,106.0,2.0
84,18.0,103.0,2.0
85,17.0,100.0,1.0
86,15.0,101.0,2.0
87,14.0,85.0,2.0
88,12.0,85.0,2.0
89,10.0,76.0,2.0
90,10.0,75.0,2.0
91,9.0,79.0,2.0
92,6.0,78.0,1.0
93,4.0,73.0,1.0
94,4.0,62.0,1.0
95,4.0,68.0,1.0
96,1.0,67.0,0.0
97,2.0,64.0,0.0
98,2.0,64.0,0.0
99,2.0,63.0,0.0
100,3.0,64.0,0.0
101,3.0,55.0,0.0
102,3.0,59.0,0.0
103,3.0,49.0,0.0
104,1.0,42.0,0.0
105,3.0,45.0,0.0
106,2.0,38.0,0.0
107,0.0,37.0,0.0
108,0.0,28.0,0.0
109,0.0,37.0,0.0
110,1.0,37.0,0.0
111,2.0,42.0,0.0
112,4.0,42.0,0.0
113,10.0,39.0,0.0
114,13.0,36.0,0.0
115,15.0,28.0,0.0
116,18.0,28.0,0.0
117,19.0,23.0,0.0
118,17.0,20.0,0.0
119,13.0,20.0,0.0
120,11.0,17.0,0.0
121,10.0,22.0,0.0
122,11.0,29.0,0.0
123,8.0,30.0,0.0
124,8.0,31.0,0.0
125,9.0,32.0,0.0
126,12.0,32.0,0.0
127,12.0,29.0,0.0
128,10.0,20.0,0.0
129,14.0,15.0,0.0
130,23.0,16.0,0.0
131,30.0,15.0,0.0
132,30.0,17.0,0.0
133,31.0,16.0,0.0
134,35.0,12.0,0.0
135,33.0,13.0,0.0
136,30.0,12.0,0.0
137,28.0,13.0,0.0
138,28.0,10.0,0.0
139,31.0,13.0,0.0
140,34.0,13.0,0.0
141,34.0,9.0,0.0
142,32.0,11.0,0.0
143,32.0,11.0,0.0
144,34.0,14.0,0.0
145,35.0,13.0,0.0
146,34.0,13.0,0.0
147,32.0,15.0,0.0
148,31.0,14.0,0.0
149,28.0,15.0,0.0
150,28.0,14.0,0.0
151,28.0,14.0,0.0
152,27.0,14.0,0.0
153,28.0,13.0,0.0
154,31.0,14.0,0.0
155,29.0,13.0,0.0
156,27.0,14.0,0.0
157,24.0,12.0,0.0
158,23.0,14.0,0.0
159,21.0,38.0,0.0
160,21.0,55.0,0.0
161,23.0,60.0,0.0
162,25.0,65.0,0.0
