index,confirmed,released,deceased
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,1,0,0
33,3,0,0
34,3,0,0
35,3,0,0
36,5,0,0
37,5,0,0
38,8,0,0
39,9,0,0
40,10,0,0
41,11,0,0
42,11,0,0
43,11,0,0
44,11,0,0
45,12,1,0
46,15,1,0
47,20,1,0
48,24,1,0
49,25,3,0
50,25,3,0
51,27,3,0
52,27,4,0
53,27,4,0
54,28,5,0
55,31,6,0
56,31,6,0
57,31,5,0
58,32,5,0
59,33,5,0
60,33,6,0
61,34,8,0
62,35,9,0
63,37,9,0
64,38,11,0
65,38,13,0
66,39,14,0
67,41,17,0
68,41,21,0
69,41,21,0
70,44,21,0
71,44,22,0
72,44,23,0
73,44,23,0
74,45,25,0
75,45,27,0
76,45,28,0
77,45,29,0
78,45,29,0
79,45,29,0
80,45,30,0
81,45,28,0
82,45,28,0
83,45,29,0
84,45,31,0
85,45,31,0
86,45,31,0
87,45,34,0
88,45,37,0
89,45,38,0
90,45,38,0
91,45,38,0
92,45,39,0
93,45,39,0
94,45,40,0
95,45,40,0
96,45,40,0
97,45,40,0
98,45,40,0
99,45,40,0
100,45,40,0
101,45,41,0
102,45,41,0
103,45,41,0
104,45,42,0
105,45,42,0
106,45,42,0
107,45,42,0
108,46,42,0
109,47,41,0
110,47,41,0
111,49,42,0
112,52,42,0
113,52,42,0
114,52,43,0
115,55,43,0
116,55,43,0
117,56,43,0
118,56,43,0
119,59,43,0
120,59,43,0
121,59,44,0
122,59,44,0
123,59,44,0
124,59,45,0
125,59,46,0
126,59,46,0
127,60,46,0
128,60,46,0
129,60,46,0
130,60,46,0
131,60,49,0
132,60,49,0
133,60,49,0
134,60,49,0
135,60,49,0
136,60,49,0
137,60,49,0
138,60,49,0
139,61,49,0
140,61,49,0
141,61,49,0
142,61,49,0
143,61,52,0
144,61,52,0
145,61,52,0
146,61,52,0
147,61,52,0
148,61,55,0
149,61,55,0
150,61,55,0
151,61,55,0
152,61,55,0
153,61,55,0
154,61,56,0
155,62,56,0
156,62,56,0
157,62,57,0
158,62,60,0
159,63,60,0
160,64,60,0
161,64,60,0
162,65,60,0
