index,confirmed,released,deceased
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,1,0,0
33,1,0,0
34,1,0,0
35,1,0,0
36,2,0,0
37,3,0,0
38,12,0,0
39,35,0,0
40,55,0,0
41,68,0,0
42,78,0,0
43,81,0,0
44,82,0,0
45,86,0,0
46,90,0,0
47,92,0,0
48,98,0,0
49,102,1,0
50,104,1,0
51,112,1,0
52,114,5,0
53,115,7,0
54,115,9,0
55,115,10,0
56,115,12,0
57,115,15,0
58,118,16,0
59,118,31,0
60,119,32,0
61,119,39,0
62,120,39,0
63,120,44,0
64,120,56,0
65,123,65,0
66,124,68,0
67,124,78,0
68,126,81,0
69,127,83,0
70,127,83,0
71,128,90,0
72,131,91,0
73,133,95,0
74,134,97,0
75,135,102,0
76,135,102,0
77,136,102,0
78,137,104,0
79,137,106,0
80,138,105,0
81,138,105,0
82,138,106,0
83,139,108,0
84,139,109,0
85,139,113,0
86,139,114,0
87,139,115,0
88,139,115,0
89,141,119,0
90,141,122,0
91,141,122,0
92,141,123,0
93,141,122,0
94,141,123,0
95,141,123,0
96,141,123,0
97,141,123,0
98,142,123,0
99,142,123,0
100,143,123,0
101,143,127,0
102,143,128,0
103,143,128,0
104,143,128,0
105,143,128,0
106,143,128,0
107,143,128,0
108,143,128,0
109,143,130,0
110,143,133,0
111,143,133,0
112,143,134,0
113,143,136,0
114,143,138,0
115,144,138,0
116,144,139,0
117,144,139,0
118,144,140,0
119,144,140,0
120,144,140,0
121,144,141,0
122,145,141,0
123,145,141,0
124,145,141,0
125,145,141,0
126,145,141,0
127,145,141,0
128,145,141,0
129,146,141,0
130,146,141,0
131,146,142,0
132,146,142,0
133,146,142,0
134,146,142,0
135,146,142,0
136,146,142,0
137,147,143,0
138,148,143,0
139,148,143,0
140,148,143,0
141,150,143,0
142,150,143,0
143,150,143,0
144,150,144,0
145,151,144,0
146,151,144,0
147,152,144,0
148,152,144,0
149,153,144,0
150,156,144,0
151,156,144,0
152,158,144,0
153,159,144,0
154,161,144,0
155,161,144,0
156,162,146,0
157,163,146,0
158,166,148,0
159,166,148,0
160,167,148,0
161,167,150,0
162,167,150,0
