index,confirmed,released,deceased
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,2,0,0
34,3,0,0
35,3,0,0
36,3,0,0
37,5,0,0
38,9,0,0
39,13,0,0
40,13,0,0
41,13,0,0
42,14,0,0
43,14,0,0
44,15,0,0
45,16,0,0
46,18,0,0
47,18,0,0
48,18,1,0
49,18,1,0
50,18,1,0
51,18,2,0
52,20,2,0
53,22,4,0
54,22,4,0
55,22,4,0
56,22,4,0
57,22,4,0
58,22,4,0
59,22,4,0
60,22,5,0
61,22,5,0
62,24,6,0
63,24,6,0
64,24,6,0
65,24,6,0
66,30,6,0
67,31,9,0
68,31,10,0
69,34,14,0
70,34,17,0
71,36,18,0
72,36,18,0
73,36,18,0
74,36,18,0
75,36,18,0
76,37,18,0
77,39,19,0
78,39,20,0
79,39,20,0
80,39,20,0
81,39,21,0
82,39,22,0
83,39,23,0
84,39,23,0
85,39,24,0
86,39,24,0
87,39,25,0
88,40,25,0
89,39,25,0
90,39,25,0
91,39,26,0
92,39,26,0
93,40,27,0
94,40,29,0
95,40,30,0
96,40,32,0
97,40,34,0
98,40,34,0
99,40,35,0
100,40,35,0
101,40,35,0
102,40,35,0
103,40,36,0
104,40,36,0
105,40,36,1
106,40,36,1
107,40,38,1
108,41,38,1
109,41,38,1
110,41,38,1
111,41,38,1
112,41,38,1
113,43,38,1
114,43,38,1
115,43,39,1
116,43,39,1
117,43,39,1
118,44,39,1
119,44,39,1
120,44,39,1
121,44,39,1
122,44,39,1
123,44,39,1
124,45,40,1
125,45,40,1
126,45,40,1
127,45,40,1
128,45,40,1
129,45,40,1
130,45,42,1
131,45,42,1
132,46,42,1
133,46,42,1
134,46,42,1
135,46,42,1
136,46,42,1
137,46,42,1
138,46,42,1
139,46,42,1
140,46,43,1
141,46,43,1
142,46,43,1
143,46,43,1
144,46,43,1
145,46,43,1
146,46,43,1
147,46,43,1
148,49,43,1
149,54,43,1
150,61,44,1
151,67,44,1
152,72,44,1
153,82,44,1
154,82,44,1
155,86,44,1
156,94,44,1
157,98,44,1
158,102,44,1
159,104,44,1
160,110,44,1
161,112,44,1
162,117,44,1
