index,confirmed,released,deceased
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,1,0,0
16,1,0,0
17,1,0,0
18,1,0,0
19,1,0,0
20,1,0,0
21,1,0,0
22,1,0,0
23,1,0,0
24,1,0,0
25,1,0,0
26,1,0,0
27,1,0,0
28,1,0,0
29,1,0,0
30,1,0,0
31,1,2,0
32,3,2,0
33,6,2,0
34,8,2,0
35,9,2,0
36,9,2,0
37,9,2,0
38,9,2,0
39,9,2,0
40,9,2,0
41,9,2,0
42,9,2,0
43,11,2,0
44,13,2,0
45,13,3,0
46,13,3,0
47,13,3,0
48,13,3,0
49,15,3,0
50,15,3,0
51,15,3,0
52,15,4,0
53,15,4,0
54,15,4,0
55,16,4,0
56,16,4,0
57,16,6,0
58,17,6,0
59,17,7,0
60,18,10,0
61,18,10,0
62,19,10,0
63,19,10,0
64,19,11,0
65,19,11,0
66,19,11,0
67,20,11,0
68,20,11,0
69,20,11,0
70,20,13,0
71,20,14,0
72,24,14,0
73,25,14,0
74,26,15,0
75,26,15,0
76,27,15,0
77,27,15,0
78,27,15,0
79,27,15,0
80,27,15,0
81,27,15,0
82,27,17,0
83,27,19,0
84,27,19,0
85,27,21,0
86,28,21,0
87,28,22,0
88,30,22,0
89,30,22,0
90,30,22,0
91,30,22,0
92,30,22,0
93,30,22,0
94,30,24,0
95,30,24,0
96,30,25,0
97,30,25,0
98,30,25,0
99,30,25,0
100,30,26,0
101,30,27,0
102,30,27,0
103,30,28,0
104,30,28,0
105,30,28,0
106,30,28,0
107,30,28,0
108,30,28,0
109,30,28,0
110,30,29,0
111,30,30,0
112,30,30,0
113,30,30,0
114,30,30,0
115,30,30,0
116,30,30,0
117,30,30,0
118,30,30,0
119,30,30,0
120,30,30,0
121,30,30,0
122,30,30,0
123,30,30,0
124,30,30,0
125,30,30,0
126,30,30,0
127,30,30,0
128,30,30,0
129,30,30,0
130,30,30,0
131,32,30,0
132,32,30,0
133,32,30,0
134,32,30,0
135,32,30,0
136,32,30,0
137,32,30,0
138,32,30,0
139,32,30,0
140,32,30,0
141,32,30,0
142,32,30,0
143,32,30,0
144,32,30,0
145,32,30,0
146,32,30,0
147,32,30,0
148,32,32,0
149,32,32,0
150,32,32,0
151,32,32,0
152,32,32,0
153,33,32,0
154,33,32,0
155,33,32,0
156,33,32,0
157,33,32,0
158,33,32,0
159,33,32,0
160,37,32,0
161,41,32,0
162,44,32,0
