index,confirmed,released,deceased
0,1,0,0
1,1,0,0
2,1,0,0
3,1,0,0
4,1,0,0
5,1,0,0
6,1,0,0
7,1,0,0
8,1,0,0
9,1,0,0
10,1,0,0
11,1,0,0
12,1,0,0
13,1,0,0
14,1,0,0
15,1,0,0
16,1,0,0
17,1,1,0
18,1,1,0
19,1,1,0
20,1,1,0
21,1,1,0
22,1,1,0
23,1,1,0
24,1,1,0
25,1,1,0
26,1,1,0
27,1,1,0
28,1,1,0
29,1,1,0
30,2,1,0
31,2,1,0
32,2,1,0
33,2,1,0
34,2,1,0
35,2,1,0
36,2,1,0
37,3,1,0
38,3,1,0
39,4,1,0
40,6,1,0
41,6,1,0
42,7,1,0
43,7,1,0
44,9,2,0
45,9,2,0
46,9,2,0
47,9,2,0
48,9,2,0
49,9,2,0
50,13,3,0
51,25,3,0
52,25,4,0
53,27,4,0
54,28,4,0
55,30,4,0
56,30,4,0
57,31,5,0
58,32,5,0
59,32,6,0
60,36,7,0
61,40,7,0
62,40,8,0
63,40,8,0
64,41,8,0
65,42,10,0
66,43,11,0
67,46,13,0
68,51,14,0
69,58,15,0
70,58,15,0
71,64,16,0
72,69,19,0
73,73,20,0
74,74,21,0
75,77,22,0
76,79,25,0
77,80,27,0
78,80,27,0
79,84,27,0
80,84,31,0
81,85,34,0
82,85,35,0
83,86,38,0
84,87,39,0
85,88,42,0
86,88,48,0
87,88,51,0
88,89,51,0
89,90,55,0
90,91,55,0
91,92,56,0
92,92,56,0
93,92,57,0
94,92,56,0
95,92,54,0
96,92,55,0
97,92,57,0
98,92,58,0
99,93,63,0
100,93,66,0
101,93,68,0
102,94,69,0
103,95,70,0
104,95,72,0
105,96,72,0
106,97,71,0
107,97,72,0
108,97,72,0
109,97,75,0
110,98,78,0
111,101,80,0
112,104,82,0
113,105,82,0
114,107,86,0
115,119,85,0
116,124,85,0
117,124,85,0
118,124,85,0
119,124,86,0
120,126,87,0
121,134,88,0
122,140,89,0
123,141,90,0
124,141,91,0
125,143,92,0
126,144,92,0
127,147,93,0
128,158,93,0
129,180,93,0
130,198,93,0
131,203,94,0
132,206,94,0
133,224,98,0
134,232,98,0
135,249,98,0
136,256,105,0
137,262,107,0
138,273,110,0
139,279,118,0
140,283,118,0
141,286,121,0
142,294,127,0
143,300,136,0
144,301,140,0
145,302,141,0
146,310,147,0
147,318,149,0
148,320,152,1
149,322,152,1
150,323,158,1
151,323,161,1
152,328,165,1
153,328,167,1
154,329,169,1
155,330,170,1
156,333,174,1
157,334,182,1
158,336,231,1
159,337,250,2
160,337,264,1
161,338,284,1
162,341,290,1
