index,confirmed,released,deceased
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,1,0,0
8,1,0,0
9,1,0,0
10,3,0,0
11,4,0,0
12,4,0,0
13,5,0,0
14,5,0,0
15,5,0,0
16,5,1,0
17,10,1,0
18,11,1,0
19,11,1,0
20,14,1,0
21,14,1,0
22,14,2,0
23,14,2,0
24,14,2,0
25,14,2,0
26,14,2,0
27,14,3,0
28,14,3,0
29,14,3,0
30,20,3,0
31,22,5,0
32,27,5,0
33,30,6,0
34,31,6,0
35,35,6,0
36,41,8,0
37,49,8,0
38,56,8,0
39,62,9,0
40,77,9,0
41,87,11,0
42,91,12,0
43,98,13,0
44,99,19,0
45,103,25,0
46,105,25,0
47,108,27,0
48,120,28,0
49,130,29,0
50,141,31,0
51,193,37,0
52,212,38,0
53,225,40,0
54,238,44,0
55,247,47,0
56,253,52,0
57,265,55,0
58,270,55,0
59,282,58,0
60,299,64,0
61,314,64,0
62,324,64,0
63,330,64,0
64,334,72,0
65,347,72,0
66,360,80,0
67,372,89,0
68,390,93,0
69,410,93,0
70,426,92,0
71,450,107,0
72,474,117,0
73,488,127,0
74,506,131,0
75,528,144,0
76,552,145,0
77,563,151,0
78,567,164,0
79,578,169,2
80,590,174,2
81,595,185,2
82,599,195,2
83,602,202,2
84,610,214,2
85,612,228,2
86,617,239,2
87,619,250,2
88,621,268,2
89,622,274,2
90,624,288,2
91,624,304,2
92,626,315,2
93,628,322,2
94,628,342,2
95,628,362,2
96,629,383,2
97,629,388,2
98,629,393,2
99,633,427,2
100,633,437,2
101,633,453,2
102,634,455,2
103,635,463,2
104,637,473,2
105,637,481,2
106,637,489,2
107,637,494,2
108,637,508,2
109,637,520,2
110,649,536,2
111,663,541,2
112,683,545,2
113,695,554,2
114,707,558,3
115,711,564,4
116,725,569,4
117,730,574,4
118,735,575,4
119,736,579,4
120,742,587,4
121,752,592,4
122,756,596,4
123,758,599,4
124,762,604,4
125,768,604,4
126,774,607,4
127,783,614,4
128,802,618,4
129,826,621,4
130,846,623,4
131,855,627,4
132,861,627,4
133,862,627,4
134,876,638,4
135,895,639,4
136,909,644,4
137,924,645,4
138,947,650,4
139,974,651,4
140,996,651,4
141,1015,664,4
142,1027,665,4
143,1048,675,4
144,1073,680,4
145,1101,688,4
146,1113,689,4
147,1120,689,4
148,1132,703,4
149,1145,710,5
150,1170,718,6
151,1188,724,6
152,1202,730,6
153,1219,733,6
154,1224,733,6
155,1230,743,6
156,1241,747,6
157,1250,761,7
158,1267,843,7
159,1284,911,7
160,1298,923,7
161,1305,942,7
162,1312,985,7
