index,confirmed,released,deceased
0,1,0,0
1,1,0,0
2,1,0,0
3,1,0,0
4,2,0,0
5,2,0,0
6,3,0,0
7,4,0,0
8,4,0,0
9,4,0,0
10,6,0,0
11,11,0,0
12,12,0,0
13,15,0,0
14,15,0,0
15,16,0,0
16,18,1,0
17,23,2,0
18,24,2,0
19,24,2,0
20,27,3,0
21,27,4,0
22,28,4,0
23,28,7,0
24,28,7,0
25,28,7,0
26,28,9,0
27,29,9,0
28,30,10,0
29,31,12,0
30,51,16,0
31,104,16,1
32,204,17,2
33,433,18,2
34,602,18,6
35,833,24,8
36,977,24,12
37,1261,24,12
38,1766,26,13
39,2337,27,13
40,3150,28,17
41,3736,30,18
42,4212,31,22
43,4812,34,28
44,5328,41,32
45,5766,88,35
46,6284,108,42
47,6767,118,44
48,7134,130,50
49,7382,166,51
50,7513,247,54
51,7755,288,60
52,7869,333,66
53,7979,510,67
54,8086,714,72
55,8126,834,75
56,8236,1137,75
57,8320,1401,81
58,8413,1540,84
59,8565,1947,91
60,8652,2233,94
61,8799,2612,102
62,8897,2909,104
63,8961,3166,111
64,9037,3507,120
65,9137,3730,126
66,9241,4144,131
67,9332,4528,139
68,9478,4811,144
69,9583,5033,152
70,9661,5228,158
71,9786,5408,162
72,9887,5567,165
73,9976,5828,169
74,10062,6021,174
75,10156,6325,177
76,10237,6463,183
77,10284,6598,186
78,10331,6694,192
79,10384,6776,200
80,10423,6973,204
81,10450,7117,208
82,10480,7243,211
83,10512,7368,214
84,10537,7447,217
85,10564,7534,222
86,10591,7616,225
87,10613,7757,229
88,10635,7829,230
89,10653,7937,232
90,10661,8042,234
91,10674,8114,236
92,10683,8213,237
93,10694,8277,238
94,10702,8411,240
95,10708,8501,240
96,10718,8635,240
97,10728,8717,242
98,10738,8764,243
99,10752,8854,244
100,10761,8922,246
101,10765,9059,247
102,10774,9072,248
103,10780,9123,250
104,10793,9183,250
105,10801,9217,252
106,10804,9283,254
107,10806,9333,255
108,10810,9419,256
109,10822,9484,256
110,10840,9568,256
111,10874,9610,256
112,10909,9632,256
113,10936,9670,258
114,10962,9695,259
115,10991,9762,260
116,11018,9821,260
117,11037,9851,262
118,11050,9888,262
119,11065,9904,263
120,11078,9938,263
121,11110,10066,263
122,11122,10135,264
123,11142,10162,264
124,11165,10194,266
125,11190,10213,266
126,11206,10226,267
127,11225,10275,269
128,11265,10295,269
129,11344,10340,269
130,11402,10363,269
131,11441,10398,269
132,11468,10405,270
133,11503,10422,271
134,11541,10446,272
135,11590,10467,273
136,11629,10499,273
137,11668,10506,273
138,11719,10531,273
139,11776,10552,273
140,11814,10563,273
141,11852,10589,274
142,11902,10611,276
143,11947,10654,276
144,12003,10669,277
145,12051,10691,277
146,12085,10718,277
147,12121,10730,277
148,12155,10760,278
149,12198,10774,279
150,12257,10800,280
151,12306,10835,280
152,12373,10856,280
153,12421,10868,280
154,12438,10881,280
155,12484,10908,281
156,12535,10930,281
157,12563,10974,282
158,12602,11172,282
159,12653,11317,282
160,12715,11364,282
161,12757,11429,282
162,12800,11537,282
