index,confirmed,released,deceased
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,8,0,0
32,8,0,0
33,11,0,0
34,19,0,0
35,34,0,0
36,42,0,0
37,58,0,0
38,61,0,0
39,65,0,0
40,80,0,0
41,83,0,0
42,88,1,0
43,90,1,0
44,92,2,0
45,92,2,0
46,95,2,0
47,96,2,0
48,96,9,0
49,96,10,0
50,96,10,0
51,98,21,0
52,99,29,0
53,100,36,0
54,103,40,0
55,106,52,1
56,107,53,1
57,107,54,1
58,107,58,1
59,107,58,1
60,108,60,1
61,108,67,1
62,108,69,1
63,109,71,1
64,111,71,1
65,112,73,1
66,112,75,2
67,113,81,2
68,114,81,2
69,117,85,3
70,118,87,3
71,119,87,3
72,122,87,3
73,122,87,3
74,122,88,3
75,122,90,3
76,122,90,3
77,122,91,3
78,123,91,3
79,125,94,3
80,125,97,3
81,126,98,3
82,126,100,3
83,126,103,3
84,126,103,3
85,126,103,3
86,127,107,3
87,130,111,3
88,130,112,3
89,130,112,3
90,130,115,3
91,132,115,3
92,132,115,3
93,134,115,3
94,135,116,3
95,136,116,3
96,136,116,3
97,137,116,3
98,137,117,3
99,137,116,3
100,137,116,3
101,137,116,3
102,137,116,3
103,138,117,3
104,138,117,3
105,138,117,3
106,138,117,3
107,138,119,3
108,138,120,3
109,140,123,3
110,141,125,3
111,141,125,3
112,141,125,3
113,141,125,3
114,144,126,3
115,144,127,3
116,144,127,3
117,144,130,3
118,144,130,3
119,144,130,3
120,144,130,3
121,144,131,3
122,144,131,3
123,144,131,3
124,144,131,3
125,144,131,3
126,144,131,3
127,144,131,3
128,144,135,3
129,145,136,3
130,145,136,3
131,146,138,3
132,147,138,3
133,147,138,3
134,147,138,3
135,147,138,3
136,147,138,3
137,147,138,3
138,147,139,3
139,147,140,3
140,147,141,3
141,147,141,3
142,147,141,3
143,147,141,3
144,147,141,3
145,147,142,3
146,147,142,3
147,147,142,3
148,148,142,3
149,148,142,3
150,148,142,3
151,148,142,3
152,150,142,3
153,150,142,3
154,150,142,3
155,150,142,3
156,152,142,3
157,152,142,3
158,152,142,3
159,152,142,3
160,152,143,3
161,153,143,3
162,154,142,3
