index,confirmed,released,deceased
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,1,0,0
5,1,0,0
6,2,0,0
7,2,0,0
8,2,0,0
9,2,0,0
10,3,0,0
11,5,0,0
12,6,0,0
13,8,0,0
14,8,0,0
15,8,0,0
16,10,0,0
17,10,0,0
18,10,0,0
19,10,0,0
20,10,1,0
21,10,1,0
22,12,3,0
23,12,3,0
24,12,5,0
25,12,5,0
26,12,5,0
27,12,5,0
28,12,5,0
29,12,5,0
30,12,7,0
31,12,7,0
32,14,7,0
33,20,7,0
34,24,7,0
35,35,7,0
36,42,8,0
37,51,8,1
38,62,8,1
39,72,8,1
40,82,8,1
41,89,8,1
42,92,8,1
43,94,8,1
44,101,9,1
45,110,10,1
46,120,14,1
47,130,14,1
48,141,16,1
49,153,22,1
50,163,22,1
51,175,25,1
52,178,27,1
53,185,31,2
54,200,36,3
55,211,40,3
56,231,48,3
57,262,55,3
58,277,59,3
59,295,64,3
60,309,66,3
61,321,79,3
62,337,82,3
63,351,88,3
64,366,97,4
65,387,100,4
66,401,122,4
67,412,131,4
68,433,140,5
69,448,144,5
70,463,160,5
71,476,166,6
72,499,171,6
73,516,181,6
74,539,186,6
75,562,200,6
76,572,208,7
77,580,213,7
78,590,226,7
79,596,237,10
80,606,259,11
81,615,269,11
82,624,286,11
83,628,292,12
84,631,305,13
85,639,313,13
86,645,322,13
87,649,330,14
88,650,340,14
89,654,361,14
90,654,370,14
91,656,387,14
92,658,398,14
93,658,404,14
94,659,424,14
95,660,441,14
96,662,448,14
97,668,463,14
98,671,470,14
99,674,475,14
100,676,481,15
101,676,486,15
102,678,488,16
103,678,498,16
104,680,510,16
105,681,515,16
106,681,518,16
107,681,525,16
108,682,538,16
109,684,538,16
110,688,548,16
111,694,556,16
112,698,557,16
113,706,559,16
114,708,563,16
115,714,577,16
116,717,583,16
117,721,587,16
118,721,598,16
119,724,600,16
120,725,602,16
121,735,611,16
122,735,631,17
123,741,633,17
124,754,636,18
125,760,643,18
126,766,644,19
127,768,645,19
128,774,646,19
129,795,646,19
130,815,647,19
131,828,648,19
132,840,650,19
133,852,657,19
134,867,660,19
135,879,662,19
136,894,665,19
137,907,665,19
138,915,673,19
139,934,678,19
140,942,680,19
141,955,680,20
142,976,682,22
143,992,691,22
144,1011,692,22
145,1025,696,22
146,1035,710,22
147,1045,713,22
148,1050,716,22
149,1063,720,22
150,1079,724,22
151,1090,737,22
152,1107,741,22
153,1117,744,22
154,1123,753,22
155,1130,758,23
156,1137,761,23
157,1146,777,23
158,1150,814,23
159,1167,858,22
160,1184,873,23
161,1200,888,23
162,1207,931,23
