index,confirmed,released,deceased
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,1,0,0
33,1,0,0
34,2,0,0
35,2,0,0
36,2,0,0
37,2,0,0
38,2,0,0
39,2,0,0
40,2,0,0
41,2,0,0
42,2,0,0
43,3,0,0
44,3,0,0
45,4,0,0
46,4,0,0
47,4,0,0
48,4,0,0
49,4,1,0
50,4,1,0
51,4,1,0
52,4,1,0
53,4,1,0
54,4,1,0
55,4,1,0
56,4,2,0
57,4,2,0
58,4,2,0
59,4,2,0
60,4,2,0
61,4,2,0
62,4,3,0
63,4,3,0
64,4,4,0
65,6,4,0
66,6,4,0
67,7,4,0
68,8,4,0
69,8,4,0
70,9,4,0
71,9,3,0
72,9,3,0
73,9,3,0
74,9,3,0
75,9,4,0
76,12,4,0
77,12,4,0
78,12,4,0
79,12,4,0
80,12,4,0
81,12,4,0
82,12,4,0
83,12,4,0
84,12,5,0
85,12,5,0
86,13,5,0
87,13,5,0
88,13,5,0
89,13,6,0
90,13,6,0
91,13,6,0
92,13,6,0
93,13,8,0
94,13,8,0
95,13,8,0
96,13,8,0
97,13,7,0
98,13,8,0
99,13,7,0
100,13,8,0
101,13,8,0
102,13,8,0
103,13,8,0
104,13,8,0
105,13,8,0
106,13,8,0
107,13,12,0
108,13,12,0
109,13,12,0
110,13,13,0
111,14,13,0
112,14,13,0
113,14,12,0
114,14,12,0
115,14,12,0
116,14,12,0
117,14,11,0
118,14,11,0
119,14,11,0
120,14,11,0
121,14,13,0
122,14,13,0
123,14,13,0
124,14,13,0
125,14,13,0
126,14,13,0
127,14,13,0
128,14,13,0
129,14,13,0
130,14,13,0
131,14,13,0
132,15,13,0
133,15,13,0
134,15,13,0
135,15,13,0
136,15,13,0
137,15,13,0
138,15,13,0
139,15,13,0
140,15,13,0
141,15,13,0
142,15,13,0
143,15,13,0
144,15,13,0
145,15,14,0
146,15,15,0
147,15,15,0
148,15,15,0
149,16,15,0
150,16,15,0
151,19,15,0
152,19,15,0
153,19,15,0
154,19,15,0
155,19,15,0
156,19,15,0
157,19,16,0
158,19,16,0
159,19,16,0
160,19,16,0
161,19,16,0
162,19,16,0
