index,confirmed,released,deceased
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,1,0,0
34,1,0,0
35,1,0,0
36,1,0,0
37,1,0,0
38,1,0,0
39,1,0,0
40,3,0,0
41,3,0,0
42,5,0,0
43,5,0,0
44,4,0,0
45,4,0,0
46,4,0,0
47,4,0,0
48,4,0,0
49,4,1,0
50,4,1,0
51,4,1,0
52,4,1,0
53,4,1,0
54,4,2,0
55,4,2,0
56,4,2,0
57,4,2,0
58,5,2,0
59,5,3,0
60,5,3,0
61,5,3,0
62,6,3,0
63,6,3,0
64,6,3,0
65,8,3,0
66,8,3,0
67,8,3,0
68,8,3,0
69,9,3,0
70,9,3,0
71,9,3,0
72,12,3,0
73,14,3,0
74,15,3,0
75,15,4,0
76,15,4,0
77,15,4,0
78,15,4,0
79,15,4,0
80,15,4,0
81,15,4,0
82,15,5,0
83,15,5,0
84,15,6,0
85,15,6,0
86,15,7,0
87,15,7,0
88,15,7,0
89,15,7,0
90,15,8,0
91,15,8,0
92,15,8,0
93,15,8,0
94,15,8,0
95,15,8,0
96,15,8,0
97,15,9,0
98,15,9,0
99,15,10,0
100,15,10,0
101,15,11,0
102,15,12,0
103,15,12,0
104,15,12,0
105,16,12,0
106,16,12,0
107,16,12,0
108,16,12,0
109,16,12,0
110,16,12,0
111,16,12,0
112,16,12,0
113,16,12,0
114,16,12,0
115,17,13,0
116,18,13,0
117,18,13,0
118,18,13,0
119,18,14,0
120,18,13,0
121,18,14,0
122,18,16,0
123,18,16,0
124,18,16,0
125,18,17,0
126,18,17,0
127,18,17,0
128,18,17,0
129,18,17,0
130,18,17,0
131,19,17,0
132,19,17,0
133,20,17,0
134,20,17,0
135,20,17,0
136,20,17,0
137,20,17,0
138,20,17,0
139,20,17,0
140,20,17,0
141,20,17,0
142,20,18,0
143,20,18,0
144,20,18,0
145,20,18,0
146,20,18,0
147,20,18,0
148,20,18,0
149,20,18,0
150,20,18,0
151,20,18,0
152,20,18,0
153,20,18,0
154,20,18,0
155,20,18,0
156,20,18,0
157,20,18,0
158,20,18,0
159,20,19,0
160,23,19,0
161,24,19,0
162,24,19,0
