index,confirmed,released,deceased
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,1,0,0
30,11,0,0
31,30,0,0
32,110,0,0
33,193,0,0
34,310,0,1
35,483,0,2
36,543,0,6
37,710,1,6
38,1132,2,6
39,1580,3,6
40,2236,3,10
41,2704,6,11
42,3081,7,15
43,3601,9,21
44,4007,11,25
45,4328,14,27
46,4694,15,30
47,5084,18,31
48,5381,18,35
49,5571,21,35
50,5663,92,38
51,5794,102,44
52,5867,114,48
53,5928,251,48
54,5990,401,51
55,6031,468,53
56,6066,734,53
57,6098,947,57
58,6144,1048,58
59,6241,1382,65
60,6275,1577,67
61,6344,1861,73
62,6387,2107,75
63,6411,2305,82
64,6442,2571,88
65,6456,2740,92
66,6482,3039,94
67,6516,3324,98
68,6587,3543,101
69,6610,3706,106
70,6624,3837,111
71,6684,3946,114
72,6704,4070,115
73,6725,4283,117
74,6734,4434,121
75,6761,4673,122
76,6768,4773,127
77,6781,4865,129
78,6794,4918,134
79,6803,4961,137
80,6807,5106,139
81,6807,5193,142
82,6814,5271,145
83,6816,5356,146
84,6819,5395,147
85,6822,5440,152
86,6823,5486,155
87,6827,5586,158
88,6827,5626,159
89,6830,5685,160
90,6832,5743,161
91,6833,5769,163
92,6835,5793,164
93,6836,5827,165
94,6840,5890,166
95,6842,5931,166
96,6845,5974,166
97,6846,6018,168
98,6847,6040,169
99,6849,6056,170
100,6852,6075,171
101,6852,6144,172
102,6852,6144,172
103,6852,6155,174
104,6856,6167,174
105,6856,6177,174
106,6856,6199,176
107,6856,6217,177
108,6856,6249,178
109,6859,6277,178
110,6859,6306,178
111,6861,6318,178
112,6861,6318,178
113,6862,6331,179
114,6865,6322,179
115,6865,6349,179
116,6868,6366,179
117,6869,6367,181
118,6870,6376,181
119,6871,6376,182
120,6871,6389,182
121,6872,6471,182
122,6872,6498,182
123,6872,6505,182
124,6873,6516,183
125,6873,6518,183
126,6874,6519,183
127,6875,6553,184
128,6878,6557,184
129,6880,6576,184
130,6880,6587,184
131,6882,6606,184
132,6883,6607,185
133,6884,6610,186
134,6884,6616,187
135,6885,6626,188
136,6885,6634,188
137,6886,6634,188
138,6886,6638,188
139,6887,6640,188
140,6888,6641,188
141,6888,6643,188
142,6888,6648,188
143,6888,6651,188
144,6889,6653,189
145,6892,6659,189
146,6894,6661,189
147,6894,6667,189
148,6894,6671,189
149,6895,6672,189
150,6896,6674,189
151,6896,6676,189
152,6898,6679,189
153,6899,6680,189
154,6900,6681,189
155,6901,6686,189
156,6903,6687,189
157,6903,6689,189
158,6903,6695,189
159,6904,6700,189
160,6904,6700,189
161,6906,6700,189
162,6906,6700,189
