index,confirmed,released,deceased
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,6,0,0
34,6,0,0
35,6,0,0
36,6,0,0
37,6,0,0
38,6,0,0
39,7,0,0
40,7,0,0
41,15,0,0
42,19,0,0
43,20,0,0
44,21,0,0
45,23,3,0
46,25,3,0
47,26,3,1
48,27,3,1
49,28,3,1
50,28,6,1
51,29,6,1
52,29,6,1
53,29,6,1
54,29,6,1
55,29,7,1
56,29,7,1
57,29,8,1
58,30,8,1
59,30,9,1
60,30,10,1
61,30,12,1
62,30,13,1
63,30,14,1
64,30,14,1
65,31,15,1
66,31,18,1
67,31,20,1
68,32,20,1
69,34,21,1
70,36,21,1
71,36,23,1
72,38,23,1
73,39,23,1
74,41,23,1
75,42,23,1
76,45,24,1
77,45,23,1
78,47,24,1
79,49,24,1
80,49,24,1
81,49,26,1
82,49,26,1
83,49,27,1
84,49,28,1
85,49,29,1
86,51,27,1
87,52,27,1
88,52,28,1
89,53,28,1
90,53,28,2
91,53,28,2
92,53,30,2
93,53,31,2
94,53,31,2
95,53,31,2
96,53,32,2
97,53,34,2
98,53,35,2
99,53,37,2
100,53,37,2
101,53,40,2
102,53,40,2
103,53,42,2
104,53,43,2
105,53,42,2
106,53,42,2
107,53,42,2
108,53,42,2
109,53,41,2
110,53,41,2
111,53,41,2
112,54,41,2
113,54,41,2
114,54,42,2
115,55,43,2
116,55,44,2
117,55,45,2
118,55,45,2
119,55,46,2
120,55,46,2
121,55,47,2
122,55,47,2
123,55,47,2
124,55,47,2
125,56,47,2
126,56,48,2
127,56,48,3
128,56,48,3
129,56,49,3
130,56,50,3
131,57,50,3
132,57,50,3
133,57,50,3
134,57,51,3
135,57,51,3
136,57,51,3
137,57,51,3
138,58,51,3
139,58,51,3
140,58,51,3
141,58,51,3
142,59,51,3
143,59,51,3
144,59,52,3
145,59,52,3
146,60,52,3
147,60,52,3
148,60,52,3
149,60,52,3
150,60,52,3
151,60,52,3
152,60,52,3
153,62,52,3
154,62,52,3
155,62,52,3
156,63,52,3
157,63,52,3
158,64,52,3
159,64,52,3
160,64,53,3
161,64,54,3
162,65,54,3
