index,confirmed,released,deceased
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,1,0
21,0,1,0
22,0,1,0
23,0,1,0
24,0,1,0
25,0,1,0
26,0,1,0
27,0,1,0
28,0,1,0
29,0,1,0
30,2,1,0
31,25,1,1
32,28,1,1
33,145,1,3
34,170,1,3
35,193,1,6
36,249,1,6
37,317,1,6
38,345,1,6
39,409,1,6
40,488,1,6
41,556,1,6
42,624,1,6
43,685,1,6
44,774,4,6
45,861,23,6
46,984,36,10
47,1049,41,10
48,1082,42,13
49,1107,57,14
50,1117,60,14
51,1135,69,14
52,1143,83,16
53,1147,103,16
54,1153,138,17
55,1157,163,17
56,1164,178,17
57,1169,209,19
58,1178,235,21
59,1190,275,21
60,1203,340,22
61,1243,395,24
62,1254,432,24
63,1256,469,24
64,1257,507,26
65,1262,538,28
66,1274,601,30
67,1283,650,34
68,1285,692,35
69,1287,732,37
70,1298,772,38
71,1300,808,38
72,1302,822,39
73,1304,840,41
74,1309,865,42
75,1310,881,44
76,1314,899,44
77,1316,922,45
78,1317,934,46
79,1320,954,46
80,1320,968,47
81,1327,994,48
82,1330,1004,48
83,1333,1013,49
84,1337,1020,50
85,1342,1029,50
86,1348,1035,50
87,1352,1044,50
88,1356,1037,50
89,1358,1046,51
90,1359,1057,51
91,1361,1064,51
92,1361,1072,51
93,1363,1079,51
94,1363,1091,52
95,1364,1097,52
96,1364,1104,52
97,1364,1109,52
98,1364,1114,52
99,1365,1119,52
100,1365,1133,52
101,1365,1147,52
102,1366,1149,52
103,1366,1154,52
104,1366,1165,52
105,1366,1173,53
106,1366,1186,53
107,1366,1190,53
108,1366,1198,53
109,1366,1206,53
110,1366,1215,53
111,1366,1220,53
112,1366,1228,53
113,1367,1230,54
114,1367,1231,54
115,1368,1237,54
116,1368,1245,54
117,1368,1253,54
118,1368,1254,54
119,1368,1257,54
120,1368,1261,54
121,1368,1271,54
122,1368,1272,54
123,1370,1276,54
124,1370,1278,54
125,1376,1281,54
126,1377,1285,54
127,1378,1286,54
128,1378,1287,54
129,1379,1291,54
130,1379,1293,54
131,1379,1294,54
132,1379,1295,54
133,1379,1296,54
134,1379,1297,54
135,1379,1298,54
136,1380,1301,54
137,1382,1302,54
138,1383,1303,54
139,1383,1304,54
140,1383,1309,54
141,1383,1310,54
142,1383,1310,54
143,1383,1312,54
144,1383,1312,54
145,1383,1312,54
146,1383,1313,54
147,1383,1313,54
148,1383,1313,54
149,1383,1313,54
150,1383,1316,54
151,1383,1317,54
152,1384,1319,54
153,1384,1320,54
154,1385,1320,54
155,1385,1321,54
156,1386,1321,54
157,1386,1321,54
158,1387,1327,54
159,1387,1328,54
160,1387,1328,54
161,1388,1328,54
162,1389,1328,54
