index,confirmed,released,deceased
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,3,0,0
31,3,0,0
32,7,0,0
33,7,0,0
34,17,0,0
35,20,0,0
36,23,0,0
37,34,0,0
38,43,0,0
39,49,1,0
40,59,1,0
41,63,1,0
42,64,1,0
43,64,1,0
44,65,2,0
45,74,3,0
46,77,4,0
47,82,4,0
48,83,4,0
49,83,9,0
50,83,10,0
51,84,10,0
52,85,10,0
53,85,11,0
54,85,11,0
55,85,16,0
56,85,20,0
57,86,22,0
58,86,23,0
59,86,29,0
60,87,33,0
61,87,40,0
62,88,42,0
63,89,45,0
64,90,48,0
65,90,51,0
66,90,57,0
67,91,62,0
68,91,63,0
69,94,64,0
70,95,65,0
71,96,67,0
72,100,67,0
73,106,70,0
74,107,71,0
75,108,75,0
76,109,77,0
77,111,80,0
78,112,80,0
79,113,80,0
80,115,82,0
81,115,82,0
82,115,83,0
83,115,84,0
84,115,84,0
85,115,84,0
86,115,84,0
87,115,82,0
88,115,84,0
89,116,84,0
90,116,85,0
91,116,87,0
92,116,88,0
93,117,89,0
94,117,89,0
95,117,91,0
96,117,91,0
97,117,93,0
98,117,94,0
99,117,97,0
100,117,97,0
101,117,97,0
102,117,98,0
103,117,99,0
104,117,100,0
105,117,101,0
106,117,102,0
107,117,104,0
108,117,105,0
109,117,105,0
110,117,107,0
111,117,108,0
112,117,110,0
113,118,112,0
114,119,113,0
115,119,114,0
116,119,115,0
117,119,116,0
118,121,116,0
119,121,116,0
120,121,115,0
121,121,117,0
122,121,117,0
123,122,117,0
124,123,117,0
125,123,117,0
126,123,119,0
127,123,119,0
128,123,119,0
129,123,119,0
130,123,119,0
131,123,120,0
132,123,121,0
133,123,121,0
134,123,121,0
135,123,121,0
136,123,121,0
137,123,121,0
138,124,122,0
139,124,122,0
140,124,122,0
141,125,123,0
142,127,123,0
143,127,123,0
144,127,123,0
145,127,123,0
146,127,123,0
147,130,124,0
148,132,124,0
149,132,124,0
150,132,124,0
151,132,124,0
152,132,124,0
153,133,124,0
154,133,124,0
155,133,124,0
156,133,124,0
157,133,125,0
158,133,125,0
159,133,128,0
160,133,128,0
161,134,128,0
162,134,128,0
