index,confirmed,released,deceased
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,1,0,0
12,1,0,0
13,1,0,0
14,1,0,0
15,1,0,0
16,1,0,0
17,1,0,0
18,1,0,0
19,1,0,0
20,1,0,0
21,1,0,0
22,1,0,0
23,1,0,0
24,1,1,0
25,1,1,0
26,1,1,0
27,1,1,0
28,1,1,0
29,1,1,0
30,1,1,0
31,1,1,0
32,2,1,0
33,3,1,0
34,3,1,0
35,3,1,0
36,3,1,0
37,3,1,0
38,5,1,0
39,5,1,0
40,5,1,0
41,6,1,0
42,6,1,0
43,7,1,0
44,7,1,0
45,7,2,0
46,7,2,0
47,7,2,0
48,7,2,0
49,7,2,0
50,7,2,0
51,7,2,0
52,7,2,0
53,7,4,0
54,7,4,0
55,7,4,0
56,7,4,0
57,7,4,0
58,9,5,0
59,10,5,0
60,10,7,0
61,10,7,0
62,10,7,0
63,10,7,0
64,10,7,0
65,10,7,0
66,10,7,0
67,10,7,0
68,10,7,0
69,12,7,0
70,13,7,0
71,13,7,0
72,14,7,0
73,14,7,0
74,15,7,0
75,15,7,0
76,16,7,0
77,16,7,0
78,16,7,0
79,17,7,0
80,17,7,0
81,17,8,0
82,17,8,0
83,17,8,0
84,17,8,0
85,17,8,0
86,17,8,0
87,17,9,0
88,17,9,0
89,17,9,0
90,17,9,0
91,17,9,0
92,17,9,0
93,17,9,0
94,17,9,0
95,17,11,0
96,17,10,0
97,18,10,0
98,18,10,0
99,18,10,0
100,18,10,0
101,18,11,0
102,18,12,0
103,18,12,0
104,18,12,0
105,18,12,0
106,18,12,0
107,18,12,0
108,18,14,0
109,19,14,0
110,19,14,0
111,19,14,0
112,19,14,0
113,19,14,0
114,20,14,0
115,20,14,0
116,20,14,0
117,20,16,0
118,20,16,0
119,20,18,0
120,20,19,0
121,21,19,0
122,21,19,0
123,21,19,0
124,21,19,0
125,21,19,0
126,21,19,0
127,21,19,0
128,21,19,0
129,21,19,0
130,21,19,0
131,21,19,0
132,21,19,0
133,21,19,0
134,21,19,0
135,21,19,0
136,21,19,0
137,21,19,0
138,21,19,0
139,21,19,0
140,21,19,0
141,21,19,0
142,21,19,0
143,21,19,0
144,21,19,0
145,21,19,0
146,21,19,0
147,21,19,0
148,21,20,0
149,21,20,0
150,22,20,0
151,22,20,0
152,23,20,0
153,23,20,0
154,24,20,0
155,24,20,0
156,25,20,0
157,25,20,0
158,25,20,0
159,26,20,0
160,26,21,0
161,27,21,0
162,27,21,0
