index,confirmed,released,deceased
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,1,0,0
34,1,0,0
35,1,0,0
36,1,0,0
37,1,0,0
38,1,0,0
39,1,0,0
40,1,0,0
41,1,0,0
42,1,0,0
43,1,0,0
44,1,0,0
45,1,0,0
46,1,0,0
47,2,0,0
48,3,0,0
49,6,0,0
50,8,0,0
51,10,0,0
52,15,0,0
53,32,0,0
54,38,0,0
55,39,0,0
56,40,0,0
57,40,0,0
58,41,0,0
59,41,0,0
60,41,0,0
61,41,2,0
62,41,3,0
63,42,3,0
64,42,3,0
65,44,3,0
66,44,8,0
67,44,9,0
68,44,9,0
69,46,11,0
70,46,12,0
71,46,12,0
72,46,12,0
73,46,12,0
74,46,12,0
75,46,15,0
76,46,15,0
77,46,17,0
78,46,17,0
79,46,14,0
80,46,16,0
81,46,20,0
82,46,20,0
83,46,22,0
84,46,22,0
85,46,21,0
86,46,21,0
87,46,21,0
88,46,24,0
89,46,25,0
90,46,29,0
91,46,29,0
92,46,29,0
93,46,33,0
94,46,34,0
95,46,34,0
96,46,35,0
97,46,35,0
98,46,35,0
99,46,35,0
100,46,36,0
101,46,38,0
102,46,39,0
103,46,41,0
104,46,42,0
105,46,44,0
106,46,45,0
107,46,45,0
108,46,45,0
109,46,45,0
110,46,45,0
111,46,45,0
112,47,45,0
113,47,45,0
114,47,46,0
115,47,46,0
116,47,47,0
117,47,47,0
118,47,47,0
119,47,47,0
120,47,46,0
121,47,47,0
122,47,47,0
123,47,47,0
124,47,47,0
125,47,47,0
126,47,47,0
127,47,47,0
128,47,47,0
129,47,47,0
130,47,47,0
131,47,47,0
132,47,47,0
133,47,47,0
134,47,47,0
135,47,47,0
136,47,47,0
137,47,47,0
138,47,47,0
139,47,47,0
140,47,47,0
141,47,47,0
142,47,47,0
143,47,47,0
144,47,47,0
145,47,47,0
146,47,47,0
147,47,47,0
148,47,47,0
149,47,47,0
150,48,47,0
151,48,47,0
152,48,47,0
153,49,47,0
154,49,47,0
155,49,47,0
156,49,47,0
157,49,47,0
158,49,47,0
159,49,47,0
160,49,47,0
161,49,47,0
162,50,47,0
