index,confirmed,released,deceased
0,1.0,0.0,0.0
1,1.0,0.0,0.0
2,1.0,0.0,0.0
3,1.0,0.0,0.0
4,2.0,0.0,0.0
5,2.0,0.0,0.0
6,3.0,0.0,0.0
7,4.0,0.0,0.0
8,4.0,0.0,0.0
9,4.0,0.0,0.0
10,7.0,0.0,0.0
11,11.0,0.0,0.0
12,12.0,0.0,0.0
13,15.0,0.0,0.0
14,15.0,0.0,0.0
15,16.0,0.0,0.0
16,18.0,1.0,0.0
17,23.0,2.0,0.0
18,24.0,2.0,0.0
19,24.0,2.0,0.0
20,27.0,4.0,0.0
21,27.0,4.0,0.0
22,29.0,7.0,0.0
23,29.0,7.0,0.0
24,29.0,10.0,0.0
25,29.0,10.0,0.0
26,29.0,10.0,0.0
27,29.0,11.0,0.0
28,29.0,11.0,0.0
29,30.0,11.0,0.0
30,52.0,13.0,0.0
31,104.0,17.0,1.0
32,204.0,17.0,1.0
33,433.0,18.0,3.0
34,602.0,18.0,4.0
35,833.0,18.0,8.0
36,977.0,21.0,12.0
37,1261.0,22.0,13.0
38,1766.0,23.0,13.0
39,2337.0,26.0,13.0
40,3150.0,26.0,17.0
41,3736.0,31.0,18.0
42,4212.0,34.0,22.0
43,4812.0,37.0,28.0
44,5327.0,52.0,32.0
45,5766.0,88.0,34.0
46,6284.0,108.0,41.0
47,6767.0,118.0,43.0
48,7134.0,130.0,50.0
49,7382.0,166.0,51.0
50,7513.0,247.0,54.0
51,7755.0,288.0,60.0
52,7869.0,333.0,66.0
53,7979.0,510.0,67.0
54,8086.0,714.0,72.0
55,8162.0,834.0,75.0
56,8232.0,1137.0,75.0
57,8314.0,1401.0,81.0
58,8402.0,1540.0,84.0
59,8549.0,1947.0,91.0
60,8635.0,2233.0,94.0
61,8776.0,2612.0,102.0
62,8863.0,2909.0,104.0
63,8914.0,3166.0,111.0
64,8970.0,3507.0,120.0
65,9036.0,3730.0,126.0
66,9110.0,4144.0,131.0
67,9188.0,4528.0,139.0
68,9310.0,4811.0,144.0
69,9394.0,5033.0,152.0
70,9459.0,5228.0,158.0
71,9569.0,5408.0,162.0
72,9663.0,5567.0,165.0
73,9734.0,5827.0,169.0
74,9798.0,6020.0,174.0
75,9877.0,6324.0,177.0
76,9934.0,6461.0,183.0
77,9974.0,6596.0,186.0
78,10007.0,6692.0,192.0
79,10046.0,6773.0,200.0
80,10075.0,6970.0,204.0
81,10098.0,7114.0,208.0
82,10122.0,7240.0,211.0
83,10136.0,7365.0,214.0
84,10155.0,7444.0,217.0
85,10175.0,7530.0,222.0
86,10198.0,7612.0,225.0
87,10216.0,7753.0,229.0
88,10227.0,7824.0,230.0
89,10241.0,7930.0,232.0
90,10247.0,8034.0,234.0
91,10256.0,8104.0,236.0
92,10262.0,8164.0,237.0
93,10271.0,8227.0,238.0
94,10277.0,8350.0,240.0
95,10282.0,8437.0,240.0
96,10288.0,8520.0,240.0
97,10297.0,8597.0,242.0
98,10302.0,8641.0,243.0
99,10313.0,8711.0,244.0
100,10319.0,8767.0,246.0
101,10319.0,8886.0,247.0
102,10324.0,8898.0,248.0
103,10327.0,8941.0,250.0
104,10335.0,8992.0,250.0
105,10339.0,9025.0,252.0
106,10340.0,9073.0,254.0
107,10340.0,9117.0,255.0
108,10343.0,9188.0,256.0
109,10352.0,9242.0,256.0
110,10370.0,9319.0,256.0
111,10398.0,9354.0,256.0
112,10430.0,9372.0,256.0
113,10456.0,9403.0,258.0
114,10481.0,9415.0,259.0
115,10510.0,9472.0,260.0
116,10536.0,9510.0,260.0
117,10547.0,9535.0,262.0
118,10556.0,9559.0,262.0
119,10564.0,9573.0,263.0
120,10577.0,9599.0,263.0
121,10607.0,9717.0,263.0
122,10618.0,9772.0,264.0
123,10631.0,9789.0,264.0
124,10651.0,9813.0,266.0
125,10672.0,9828.0,266.0
126,10687.0,9840.0,267.0
127,10704.0,9884.0,269.0
128,10743.0,9898.0,269.0
129,10815.0,9928.0,269.0
130,10873.0,9947.0,269.0
131,10907.0,9980.0,269.0
132,10934.0,9986.0,270.0
133,10967.0,10001.0,271.0
134,11004.0,10023.0,272.0
135,11053.0,10037.0,273.0
136,11090.0,10064.0,273.0
137,11128.0,10069.0,273.0
138,11174.0,10092.0,273.0
139,11229.0,10110.0,273.0
140,11264.0,10120.0,273.0
141,11302.0,10140.0,274.0
142,11346.0,10156.0,276.0
143,11389.0,10192.0,276.0
144,11435.0,10206.0,277.0
145,11482.0,10227.0,277.0
146,11515.0,10252.0,277.0
147,11544.0,10264.0,277.0
148,11569.0,10294.0,278.0
149,11605.0,10306.0,279.0
150,11660.0,10331.0,280.0
151,11698.0,10356.0,280.0
152,11747.0,10375.0,280.0
153,11791.0,10385.0,280.0
154,11808.0,10398.0,280.0
155,11828.0,10420.0,281.0
156,11867.0,10434.0,281.0
157,11891.0,10477.0,282.0
158,11923.0,10663.0,282.0
159,11963.0,10805.0,282.0
160,12009.0,10849.0,282.0
161,12046.0,10906.0,282.0
162,12076.0,10997.0,282.0
