index,confirmed,released,deceased
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,1,0,0
34,1,0,0
35,2,0,0
36,3,0,0
37,4,0,0
38,11,0,0
39,14,0,0
40,17,0,0
41,20,0,0
42,20,0,0
43,20,0,0
44,23,0,0
45,23,0,0
46,23,1,0
47,23,1,0
48,24,1,0
49,24,1,0
50,24,1,0
51,25,2,0
52,25,3,0
53,27,3,0
54,27,5,0
55,28,6,0
56,28,7,0
57,28,8,0
58,30,9,0
59,36,9,0
60,36,11,0
61,36,11,0
62,36,12,0
63,36,17,0
64,36,18,0
65,37,19,0
66,37,20,0
67,39,20,0
68,39,19,0
69,39,19,0
70,39,19,0
71,39,19,0
72,39,20,1
73,40,21,1
74,40,21,1
75,40,24,1
76,40,27,1
77,40,27,1
78,40,28,1
79,40,28,1
80,40,28,1
81,40,28,1
82,41,30,1
83,41,32,1
84,41,33,1
85,42,33,1
86,42,33,1
87,42,34,1
88,42,34,1
89,42,34,1
90,42,34,1
91,43,34,1
92,43,35,1
93,43,35,1
94,43,36,1
95,43,36,1
96,43,36,1
97,43,36,1
98,43,36,1
99,43,36,1
100,43,37,1
101,43,37,1
102,43,37,1
103,43,37,1
104,43,37,1
105,44,37,1
106,44,38,1
107,44,37,1
108,44,37,1
109,44,37,1
110,44,38,1
111,44,38,1
112,44,38,1
113,44,40,1
114,45,41,1
115,45,41,1
116,45,39,1
117,45,40,1
118,45,41,1
119,45,41,1
120,49,41,1
121,49,42,1
122,49,42,1
123,50,42,1
124,50,42,1
125,50,42,1
126,50,42,1
127,50,42,1
128,50,42,1
129,50,44,1
130,50,44,1
131,50,44,1
132,52,45,1
133,52,45,1
134,52,45,1
135,52,45,1
136,52,46,1
137,52,46,1
138,52,46,1
139,53,46,1
140,53,46,1
141,53,46,1
142,53,47,1
143,53,47,1
144,53,47,1
145,53,47,1
146,53,47,1
147,53,47,1
148,53,47,1
149,53,47,1
150,53,48,1
151,53,48,1
152,53,48,1
153,53,48,1
154,53,48,1
155,53,48,1
156,55,48,1
157,55,48,1
158,55,49,1
159,55,50,1
160,55,50,1
161,55,50,1
162,55,50,1
