index,confirmed,released,deceased
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,1,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,1,0,0
37,1,0,0
38,9,0,0
39,23,0,0
40,20,0,0
41,13,0,0
42,10,0,0
43,3,0,0
44,1,0,0
45,4,0,0
46,4,0,0
47,2,0,0
48,6,0,0
49,4,1,0
50,2,0,0
51,8,0,0
52,2,4,0
53,1,2,0
54,0,2,0
55,0,1,0
56,0,2,0
57,0,3,0
58,3,1,0
59,0,15,0
60,1,1,0
61,0,7,0
62,1,0,0
63,0,5,0
64,0,12,0
65,3,9,0
66,1,3,0
67,0,10,0
68,2,3,0
69,1,2,0
70,0,0,0
71,1,7,0
72,3,1,0
73,2,4,0
74,1,2,0
75,1,5,0
76,0,0,0
77,1,0,0
78,1,2,0
79,0,2,0
80,1,-1,0
81,0,0,0
82,0,1,0
83,1,2,0
84,0,1,0
85,0,4,0
86,0,1,0
87,0,1,0
88,0,0,0
89,2,4,0
90,0,3,0
91,0,0,0
92,0,1,0
93,0,-1,0
94,0,1,0
95,0,0,0
96,0,0,0
97,0,0,0
98,1,0,0
99,0,0,0
100,1,0,0
101,0,4,0
102,0,1,0
103,0,0,0
104,0,0,0
105,0,0,0
106,0,0,0
107,0,0,0
108,0,0,0
109,0,2,0
110,0,3,0
111,0,0,0
112,0,1,0
113,0,2,0
114,0,2,0
115,1,0,0
116,0,1,0
117,0,0,0
118,0,1,0
119,0,0,0
120,0,0,0
121,0,1,0
122,1,0,0
123,0,0,0
124,0,0,0
125,0,0,0
126,0,0,0
127,0,0,0
128,0,0,0
129,1,0,0
130,0,0,0
131,0,1,0
132,0,0,0
133,0,0,0
134,0,0,0
135,0,0,0
136,0,0,0
137,1,1,0
138,1,0,0
139,0,0,0
140,0,0,0
141,2,0,0
142,0,0,0
143,0,0,0
144,0,1,0
145,1,0,0
146,0,0,0
147,1,0,0
148,0,0,0
149,1,0,0
150,3,0,0
151,0,0,0
152,2,0,0
153,1,0,0
154,2,0,0
155,0,0,0
156,1,2,0
157,1,0,0
158,3,2,0
159,0,0,0
160,1,0,0
161,0,2,0
162,0,0,0
