index,confirmed,released,deceased
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,1,0,0
5,0,0,0
6,1,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,1,0,0
11,2,0,0
12,1,0,0
13,2,0,0
14,0,0,0
15,0,0,0
16,2,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,1,0
21,0,0,0
22,2,2,0
23,0,0,0
24,0,2,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,2,0
31,0,0,0
32,2,0,0
33,6,0,0
34,4,0,0
35,11,0,0
36,7,1,0
37,9,0,1
38,11,0,0
39,10,0,0
40,10,0,0
41,7,0,0
42,3,0,0
43,2,0,0
44,7,1,0
45,9,1,0
46,10,4,0
47,10,0,0
48,11,2,0
49,12,6,0
50,10,0,0
51,12,3,0
52,3,2,0
53,7,4,1
54,15,5,1
55,11,4,0
56,20,8,0
57,31,7,0
58,15,4,0
59,18,5,0
60,14,2,0
61,12,13,0
62,16,3,0
63,14,6,0
64,15,9,1
65,21,3,0
66,14,22,0
67,11,9,0
68,21,9,1
69,15,4,0
70,15,16,0
71,13,6,1
72,23,5,0
73,17,10,0
74,23,5,0
75,23,14,0
76,10,8,1
77,8,5,0
78,10,13,0
79,6,11,3
80,10,22,1
81,9,10,0
82,9,17,0
83,4,6,1
84,3,13,1
85,8,8,0
86,6,9,0
87,4,8,1
88,1,10,0
89,4,21,0
90,0,9,0
91,2,17,0
92,2,11,0
93,0,6,0
94,1,20,0
95,1,17,0
96,2,7,0
97,6,15,0
98,3,7,0
99,3,5,0
100,2,6,1
101,0,5,0
102,2,2,1
103,0,10,0
104,2,12,0
105,1,5,0
106,0,3,0
107,0,7,0
108,1,13,0
109,2,0,0
110,4,10,0
111,6,8,0
112,4,1,0
113,8,2,0
114,2,4,0
115,6,14,0
116,3,6,0
117,4,4,0
118,0,11,0
119,3,2,0
120,1,2,0
121,10,9,0
122,0,20,1
123,6,2,0
124,13,3,1
125,6,7,0
126,6,1,1
127,2,1,0
128,6,1,0
129,21,0,0
130,20,1,0
131,13,1,0
132,12,2,0
133,12,7,0
134,15,3,0
135,12,2,0
136,15,3,0
137,13,0,0
138,8,8,0
139,19,5,0
140,8,2,0
141,13,0,1
142,21,2,2
143,16,9,0
144,19,1,0
145,14,4,0
146,10,14,0
147,10,3,0
148,5,3,0
149,13,4,0
150,16,4,0
151,11,13,0
152,17,4,0
153,10,3,0
154,6,9,0
155,7,5,1
156,7,3,0
157,9,16,0
158,4,37,0
159,17,44,-1
160,17,15,1
161,16,15,0
162,7,43,0
