index,confirmed,released,deceased
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,1,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,2,0,0
31,23,0,1
32,3,0,0
33,117,0,2
34,25,0,0
35,23,0,3
36,56,0,0
37,68,0,0
38,28,0,0
39,64,0,0
40,79,0,0
41,68,0,0
42,68,0,0
43,61,0,0
44,89,3,0
45,87,19,0
46,123,13,4
47,65,5,0
48,33,1,3
49,25,15,1
50,10,3,0
51,18,9,0
52,8,14,2
53,4,20,0
54,6,35,1
55,4,25,0
56,7,15,0
57,5,31,2
58,9,26,2
59,12,40,0
60,13,65,1
61,40,55,2
62,11,37,0
63,2,37,0
64,1,38,2
65,5,31,2
66,12,63,2
67,9,49,4
68,2,42,1
69,2,40,2
70,11,40,1
71,2,36,0
72,2,14,1
73,2,18,2
74,5,25,1
75,1,16,2
76,4,18,0
77,2,23,1
78,1,12,1
79,3,20,0
80,0,14,1
81,7,26,1
82,3,10,0
83,3,9,1
84,4,7,1
85,5,9,0
86,6,6,0
87,4,9,0
88,4,-7,0
89,2,9,1
90,1,11,0
91,2,7,0
92,0,8,0
93,2,7,0
94,0,12,1
95,1,6,0
96,0,7,0
97,0,5,0
98,0,5,0
99,1,5,0
100,0,14,0
101,0,14,0
102,1,2,0
103,0,5,0
104,0,11,0
105,0,8,1
106,0,13,0
107,0,4,0
108,0,8,0
109,0,8,0
110,0,9,0
111,0,5,0
112,0,8,0
113,1,2,1
114,0,1,0
115,1,6,0
116,0,8,0
117,0,8,0
118,0,1,0
119,0,3,0
120,0,4,0
121,0,10,0
122,0,1,0
123,2,4,0
124,0,2,0
125,6,3,0
126,1,4,0
127,1,1,0
128,0,1,0
129,1,4,0
130,0,2,0
131,0,1,0
132,0,1,0
133,0,1,0
134,0,1,0
135,0,1,0
136,1,3,0
137,2,1,0
138,1,1,0
139,0,1,0
140,0,5,0
141,0,1,0
142,0,0,0
143,0,2,0
144,0,0,0
145,0,0,0
146,0,1,0
147,0,0,0
148,0,0,0
149,0,0,0
150,0,3,0
151,0,1,0
152,1,2,0
153,0,1,0
154,1,0,0
155,0,1,0
156,1,0,0
157,0,0,0
158,1,6,0
159,0,1,0
160,0,0,0
161,1,0,0
162,1,0,0
