index,confirmed,released,deceased
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,1,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,1,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,1,0,0
38,0,0,0
39,1,0,0
40,2,0,0
41,0,0,0
42,1,0,0
43,0,0,0
44,2,1,0
45,0,0,0
46,0,0,0
47,0,0,0
48,0,0,0
49,0,0,0
50,4,1,0
51,12,0,0
52,0,1,0
53,2,0,0
54,1,0,0
55,2,0,0
56,0,0,0
57,1,1,0
58,1,0,0
59,0,1,0
60,4,1,0
61,4,0,0
62,0,1,0
63,0,0,0
64,1,0,0
65,1,2,0
66,1,1,0
67,3,2,0
68,5,1,0
69,7,1,0
70,0,0,0
71,6,1,0
72,5,3,0
73,4,1,0
74,1,1,0
75,3,1,0
76,2,3,0
77,1,2,0
78,0,0,0
79,4,0,0
80,0,4,0
81,1,3,0
82,0,1,0
83,1,3,0
84,1,1,0
85,1,3,0
86,0,6,0
87,0,3,0
88,1,0,0
89,1,4,0
90,1,0,0
91,1,1,0
92,0,0,0
93,0,1,0
94,0,-1,0
95,0,-2,0
96,0,1,0
97,0,2,0
98,0,1,0
99,1,5,0
100,0,3,0
101,0,2,0
102,1,1,0
103,1,1,0
104,0,2,0
105,1,0,0
106,1,-1,0
107,0,1,0
108,0,0,0
109,0,3,0
110,1,3,0
111,3,2,0
112,3,2,0
113,1,0,0
114,2,4,0
115,12,-1,0
116,5,0,0
117,0,0,0
118,0,0,0
119,0,1,0
120,2,1,0
121,8,1,0
122,6,1,0
123,1,1,0
124,0,1,0
125,2,1,0
126,1,0,0
127,3,1,0
128,11,0,0
129,22,0,0
130,18,0,0
131,5,1,0
132,3,0,0
133,18,4,0
134,8,0,0
135,17,0,0
136,7,7,0
137,6,2,0
138,11,3,0
139,6,8,0
140,4,0,0
141,3,3,0
142,8,6,0
143,6,9,0
144,1,4,0
145,1,1,0
146,8,6,0
147,8,2,0
148,2,3,1
149,2,0,0
150,1,6,0
151,0,3,0
152,5,4,0
153,0,2,0
154,1,2,0
155,1,1,0
156,3,4,0
157,1,8,0
158,2,49,0
159,1,19,1
160,0,14,-1
161,1,20,0
162,3,6,0
