index,confirmed,released,deceased
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,1,0,0
8,0,0,0
9,0,0,0
10,2,0,0
11,1,0,0
12,0,0,0
13,1,0,0
14,0,0,0
15,0,0,0
16,0,1,0
17,5,0,0
18,1,0,0
19,0,0,0
20,3,0,0
21,0,0,0
22,0,1,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,1,0
28,0,0,0
29,0,0,0
30,6,0,0
31,2,2,0
32,5,0,0
33,3,1,0
34,1,0,0
35,4,0,0
36,6,2,0
37,8,0,0
38,7,0,0
39,6,1,0
40,15,0,0
41,10,2,0
42,4,1,0
43,7,1,0
44,1,6,0
45,4,6,0
46,2,0,0
47,3,2,0
48,12,1,0
49,10,1,0
50,11,2,0
51,52,6,0
52,19,1,0
53,13,2,0
54,13,4,0
55,9,3,0
56,6,5,0
57,12,3,0
58,5,0,0
59,12,3,0
60,17,6,0
61,15,0,0
62,10,0,0
63,6,0,0
64,4,8,0
65,13,0,0
66,13,8,0
67,12,9,0
68,18,4,0
69,20,0,0
70,16,-1,0
71,24,15,0
72,24,10,0
73,14,10,0
74,18,4,0
75,22,13,0
76,24,1,0
77,11,6,0
78,4,13,0
79,11,5,2
80,12,5,0
81,5,11,0
82,4,10,0
83,3,7,0
84,8,12,0
85,2,14,0
86,5,11,0
87,2,11,0
88,2,18,0
89,1,6,0
90,2,14,0
91,0,16,0
92,2,11,0
93,2,7,0
94,0,20,0
95,0,20,0
96,1,21,0
97,0,5,0
98,0,5,0
99,4,34,0
100,0,10,0
101,0,16,0
102,1,2,0
103,1,8,0
104,2,10,0
105,0,8,0
106,0,8,0
107,0,5,0
108,0,14,0
109,0,12,0
110,12,16,0
111,14,5,0
112,20,4,0
113,12,9,0
114,12,4,1
115,4,6,1
116,14,5,0
117,5,5,0
118,5,1,0
119,1,4,0
120,6,8,0
121,10,5,0
122,4,4,0
123,2,3,0
124,4,5,0
125,6,0,0
126,6,3,0
127,9,7,0
128,19,4,0
129,24,3,0
130,20,2,0
131,9,4,0
132,6,0,0
133,1,0,0
134,14,11,0
135,19,1,0
136,14,5,0
137,15,1,0
138,23,5,0
139,27,1,0
140,22,0,0
141,19,13,0
142,12,1,0
143,21,10,0
144,25,5,0
145,28,8,0
146,12,1,0
147,7,0,0
148,12,14,0
149,13,7,1
150,25,8,1
151,18,6,0
152,14,6,0
153,17,3,0
154,5,0,0
155,6,10,0
156,11,4,0
157,9,14,1
158,17,82,0
159,17,68,0
160,14,12,0
161,7,19,0
162,7,43,0
