index,confirmed,released,deceased
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,1.0,0.0,0.0
5,0.0,0.0,0.0
6,1.0,0.0,0.0
7,1.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,3.0,0.0,0.0
11,4.0,0.0,0.0
12,1.0,0.0,0.0
13,3.0,0.0,0.0
14,0.0,0.0,0.0
15,1.0,0.0,0.0
16,2.0,1.0,0.0
17,5.0,1.0,0.0
18,1.0,0.0,0.0
19,0.0,0.0,0.0
20,3.0,2.0,0.0
21,0.0,0.0,0.0
22,2.0,3.0,0.0
23,0.0,0.0,0.0
24,0.0,3.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,1.0,0.0
28,0.0,0.0,0.0
29,1.0,0.0,0.0
30,22.0,2.0,0.0
31,52.0,4.0,1.0
32,100.0,0.0,0.0
33,229.0,1.0,2.0
34,169.0,0.0,1.0
35,231.0,0.0,4.0
36,144.0,3.0,4.0
37,284.0,1.0,1.0
38,505.0,1.0,0.0
39,571.0,3.0,0.0
40,813.0,0.0,4.0
41,586.0,5.0,1.0
42,476.0,3.0,4.0
43,600.0,3.0,6.0
44,515.0,15.0,4.0
45,439.0,36.0,2.0
46,518.0,20.0,7.0
47,483.0,10.0,2.0
48,367.0,12.0,7.0
49,248.0,36.0,1.0
50,131.0,81.0,3.0
51,242.0,41.0,6.0
52,114.0,45.0,6.0
53,110.0,177.0,1.0
54,107.0,204.0,5.0
55,76.0,120.0,3.0
56,70.0,303.0,0.0
57,82.0,264.0,6.0
58,88.0,139.0,3.0
59,147.0,407.0,7.0
60,86.0,286.0,3.0
61,141.0,379.0,8.0
62,87.0,297.0,2.0
63,51.0,257.0,7.0
64,56.0,341.0,9.0
65,66.0,223.0,6.0
66,74.0,414.0,5.0
67,78.0,384.0,8.0
68,122.0,283.0,5.0
69,84.0,222.0,8.0
70,65.0,195.0,6.0
71,110.0,180.0,4.0
72,94.0,159.0,3.0
73,71.0,260.0,4.0
74,64.0,193.0,5.0
75,79.0,304.0,3.0
76,57.0,137.0,6.0
77,40.0,135.0,3.0
78,33.0,96.0,6.0
79,39.0,81.0,8.0
80,29.0,197.0,4.0
81,23.0,144.0,4.0
82,24.0,126.0,3.0
83,14.0,125.0,3.0
84,19.0,79.0,3.0
85,20.0,86.0,5.0
86,23.0,82.0,3.0
87,18.0,141.0,4.0
88,11.0,71.0,1.0
89,14.0,106.0,2.0
90,6.0,104.0,2.0
91,9.0,70.0,2.0
92,6.0,60.0,1.0
93,9.0,63.0,1.0
94,6.0,123.0,2.0
95,5.0,87.0,0.0
96,6.0,83.0,0.0
97,9.0,77.0,2.0
98,5.0,44.0,1.0
99,11.0,70.0,1.0
100,6.0,56.0,2.0
101,0.0,119.0,1.0
102,5.0,12.0,1.0
103,3.0,43.0,2.0
104,8.0,51.0,0.0
105,4.0,33.0,2.0
106,1.0,48.0,2.0
107,0.0,44.0,1.0
108,3.0,71.0,1.0
109,9.0,54.0,0.0
110,18.0,77.0,0.0
111,28.0,35.0,0.0
112,32.0,18.0,0.0
113,26.0,31.0,2.0
114,25.0,12.0,1.0
115,29.0,57.0,1.0
116,26.0,38.0,0.0
117,11.0,25.0,2.0
118,9.0,24.0,0.0
119,8.0,14.0,1.0
120,13.0,26.0,0.0
121,30.0,118.0,0.0
122,11.0,55.0,1.0
123,13.0,17.0,0.0
124,20.0,24.0,2.0
125,21.0,15.0,0.0
126,15.0,12.0,1.0
127,17.0,44.0,2.0
128,39.0,14.0,0.0
129,72.0,30.0,0.0
130,58.0,19.0,0.0
131,34.0,33.0,0.0
132,27.0,6.0,1.0
133,33.0,15.0,1.0
134,37.0,22.0,1.0
135,49.0,14.0,1.0
136,37.0,27.0,0.0
137,38.0,5.0,0.0
138,46.0,23.0,0.0
139,55.0,18.0,0.0
140,35.0,10.0,0.0
141,38.0,20.0,1.0
142,44.0,16.0,2.0
143,43.0,36.0,0.0
144,46.0,14.0,1.0
145,47.0,21.0,0.0
146,33.0,25.0,0.0
147,29.0,12.0,0.0
148,25.0,30.0,1.0
149,36.0,12.0,1.0
150,55.0,25.0,1.0
151,38.0,25.0,0.0
152,49.0,19.0,0.0
153,44.0,10.0,0.0
154,17.0,13.0,0.0
155,20.0,22.0,1.0
156,39.0,14.0,0.0
157,24.0,43.0,1.0
158,32.0,186.0,0.0
159,40.0,142.0,0.0
160,46.0,44.0,0.0
161,37.0,57.0,0.0
162,30.0,91.0,0.0
