index,confirmed,released,deceased
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,1,0,0
30,10,0,0
31,19,0,0
32,80,0,0
33,83,0,0
34,117,0,1
35,173,0,1
36,60,0,4
37,167,1,0
38,422,1,0
39,448,1,0
40,656,0,4
41,468,3,1
42,377,1,4
43,520,2,6
44,406,2,4
45,321,3,2
46,366,1,3
47,390,3,1
48,297,0,4
49,190,3,0
50,92,71,3
51,131,10,6
52,73,12,4
53,61,137,0
54,62,150,3
55,41,67,2
56,35,266,0
57,32,213,4
58,46,101,1
59,97,334,7
60,34,195,2
61,69,284,6
62,43,246,2
63,24,198,7
64,31,266,6
65,14,169,4
66,26,299,2
67,34,285,4
68,71,219,3
69,23,163,5
70,14,131,5
71,60,109,3
72,20,124,1
73,21,213,2
74,9,151,4
75,27,239,1
76,7,100,5
77,13,92,2
78,13,53,5
79,9,43,3
80,4,145,2
81,0,87,3
82,7,78,3
83,2,85,1
84,3,39,1
85,3,45,5
86,1,46,3
87,4,100,3
88,0,40,1
89,3,59,1
90,2,58,1
91,1,26,2
92,2,24,1
93,1,34,1
94,4,63,1
95,2,41,0
96,3,43,0
97,1,44,2
98,1,22,1
99,2,16,1
100,3,19,1
101,0,69,1
102,0,0,0
103,0,11,2
104,4,12,0
105,0,10,0
106,0,22,2
107,0,18,1
108,0,32,1
109,3,28,0
110,0,29,0
111,2,12,0
112,0,0,0
113,1,13,1
114,3,-9,0
115,0,27,0
116,3,17,0
117,1,1,2
118,1,9,0
119,1,0,1
120,0,13,0
121,1,82,0
122,0,27,0
123,0,7,0
124,1,11,1
125,0,2,0
126,1,1,0
127,1,34,1
128,3,4,0
129,2,19,0
130,0,11,0
131,2,19,0
132,1,1,1
133,1,3,1
134,0,6,1
135,1,10,1
136,0,8,0
137,1,0,0
138,0,4,0
139,1,2,0
140,1,1,0
141,0,2,0
142,0,5,0
143,0,3,0
144,1,2,1
145,3,6,0
146,2,2,0
147,0,6,0
148,0,4,0
149,1,1,0
150,1,2,0
151,0,2,0
152,2,3,0
153,1,1,0
154,1,1,0
155,1,5,0
156,2,1,0
157,0,2,0
158,0,6,0
159,1,5,0
160,0,0,0
161,2,0,0
162,0,0,0
